date_posted,job_title,company,location,source,posted_at_text,education_requirement,technical_skills,description,province
,shoreway drywall,"ottawa, on, canada",indeed,18 days ago,Professional Designation / Master’s,"[""Payroll"", ""TAX"", ""Bookkeeping"", ""SAGE"", ""Quickbooks""]",https://emplois.ca.indeed.com/viewjob?jk=37452eb1fad400d6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"bookkeeper / payroll & office administrator location: on-site (workstation provided) job type: part-time (10–20 hours/week) about the role we're looking for a reliable, highly organized bookkeeper to manage our day-to-day bookkeeping, payroll, and light administrative support. this is an on-site, part-time position (10–20 hours/week) — you'll have your own dedicated workstation and be part of the daily operations of the business. we need someone who owns their work from start to finish: deadlines don't slip, records don't go missing, and small admin tasks don't fall through the cracks. key responsibilities bookkeeping: maintain accurate, up-to-date financial records (accounts payable/receivable, bank reconciliations, general ledger entries) process invoices, expenses, and vendor payments prepare monthly, quarterly, and year-end financial reports reconcile accounts and flag discrepancies promptly liaise with our accountant/cpa as needed for tax filings and year-end close payroll: process payroll accurately and on schedule (hours, deductions, benefits, remittances) ensure compliance with cra payroll requirements (t4s, source deductions, etc.) maintain employee payroll records and respond to pay-related questions administrative support: general office admin tasks as needed (filing, correspondence, scheduling, data entry, supply ordering, etc.) support day-to-day operational needs of the office what we're looking for minimum 4 years of hands-on bookkeeping and payroll experience in a workplace setting strong track record of staying on top of tasks and deadlines without needing reminders or follow-up highly organized, with systems for keeping records, files, and priorities in order comfortable learning and navigating our business software/accounting systems with minimal hand-holding experience with accounting software (e.g., quickbooks, sage, wave, or similar) and payroll platforms strong attention to detail and accuracy with numbers trustworthy with confidential financial and employee information good written and verbal communication skills verifiable references required what we offer part-time, on-site position (10–20 hours/week) with a dedicated, fully equipped workstation pay based on years of experience to apply please submit your resume along with at least 2–3 professional references who can speak to your reliability, organization, and bookkeeping/payroll experience. pay: $20.00-$26.00 per hour work location: in person",Other / Remote
,flashbooks,"gatineau, quebec, canada",learn4good,12 days ago,Professional Designation / Master’s,"[""Payroll"", ""Excel""]",https://www.learn4good.com/jobs/gatineau-quebec/canada/accounting/5278989174/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"position: junior bookkeeper: launch your career in canadian small biz a canadian accounting solutions company is seeking an entry-level bookkeeper to join their team. this role involves recording financial transactions, reconciling statements, and assisting in payroll processes. ideal candidates will have a background in accounting or finance, be proficient in microsoft excel, and possess strong organizational skills. the company values attention to detail and offers an opportunity to work with a dynamic team while supporting the growth of small businesses in canada. #j-18808-ljbffr",Other / Remote
